,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020
26490,Surf Coast (S),33457,34771,,1314,3.9,,163,1024,127,,1552.9,22.4
26610,Swan Hill (RC),20650,20534,,-116,-0.6,,125,-351,110,,6115.3,3.4
26670,Towong (S),6039,6102,,63,1,,-20,75,8,,6674.9,0.9
26700,Wangaratta (RC),29184,29197,,13,0,,27,-74,60,,3645.1,8
26730,Warrnambool (C),35181,35533,,352,1,,75,63,214,,120.9,293.8
26810,Wellington (S),44378,44770,,392,0.9,,54,204,134,,10817.3,4.1
26890,West Wimmera (S),3839,3810,,-29,-0.8,,12,-45,4,,9108.2,0.4
26980,Whitehorse (C),178779,180735,,1956,1.1,,400,-1630,3186,,64.3,2811.7
27070,Whittlesea (C),230297,236539,,6242,2.7,,2288,1592,2362,,489.7,483
27170,Wodonga (C),42083,42662,,579,1.4,,281,161,137,,432.7,98.6
27260,Wyndham (C),270607,283294,,12687,4.7,,4274,4755,3658,,542.1,522.6
27350,Yarra (C),101516,103125,,1609,1.6,,634,-410,1385,,19.5,5277
27450,Yarra Ranges (S),159474,159955,,481,0.3,,909,-895,467,,2468.2,64.8
27630,Yarriambiack (S),6637,6588,,-49,-0.7,,-45,-15,11,,7325.8,0.9
,,,,,,,,,,,,,
29399,Unincorporated Vic,881,894,,13,1.5,,4,5,4,,283,3.2
,,,,,,,,,,,,,
,TOTAL VICTORIA,6596880,6696670,,99790,1.5,,36212,2243,61335,,227495.6,29.4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: Regional population, 2019-20",,,,,,,,,,,,,
,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,
