            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,,Median age of earners (years),,,,,,,Sum ($),,,,,,,Median ($),,,,,,,Mean ($),,,,,,,,,,,,,
10600,Bellingen," 6,434 "," 6,380 "," 6,575 "," 6,639 "," 6,774 "," 6,859 "," 6,953 ", 50 , 50 , 50 , 51 , 51 , 51 , 51 ," 243,000,000 "," 252,000,000 "," 269,000,000 "," 282,000,000 "," 304,000,000 "," 310,526,099 "," 310,517,376 "," 30,259 "," 32,008 "," 32,939 "," 34,248 "," 35,835 "," 36,601 "," 35,924 "," 37,728 "," 39,435 "," 40,958 "," 42,495 "," 44,878 "," 45,273 "," 44,659 ",,,,,,,
10650,Berrigan," 4,535 "," 4,490 "," 4,556 "," 4,590 "," 4,286 "," 4,507 "," 4,584 ", 49 , 49 , 49 , 49 , 48 , 48 , 48 ," 178,000,000 "," 185,000,000 "," 199,000,000 "," 215,000,000 "," 202,000,000 "," 207,637,058 "," 212,846,180 "," 32,456 "," 34,409 "," 36,964 "," 38,633 "," 38,513 "," 38,652 "," 40,157 "," 39,240 "," 41,303 "," 43,691 "," 46,733 "," 47,182 "," 46,070 "," 46,432 ",,,,,,,
10750,Blacktown," 153,738 "," 157,330 "," 162,615 "," 170,908 "," 179,359 "," 186,647 "," 195,437 ", 39 , 39 , 39 , 39 , 38 , 38 , 38 ," 7,670,000,000 "," 8,180,000,000 "," 8,650,000,000 "," 9,280,000,000 "," 10,100,000,000 "," 10,747,231,003 "," 11,506,893,919 "," 45,630 "," 47,309 "," 48,236 "," 49,080 "," 50,647 "," 51,422 "," 52,802 "," 49,920 "," 51,972 "," 53,203 "," 54,326 "," 56,139 "," 57,581 "," 58,878 ",,,,,,,
10800,Bland," 3,156 "," 3,189 "," 3,147 "," 3,132 "," 3,006 "," 3,137 "," 3,136 ", 47 , 47 , 48 , 48 , 48 , 47 , 47 ," 141,000,000 "," 146,000,000 "," 165,000,000 "," 162,000,000 "," 157,000,000 "," 167,121,030 "," 155,914,366 "," 35,516 "," 35,746 "," 38,576 "," 39,540 "," 40,728 "," 40,743 "," 40,816 "," 44,693 "," 45,895 "," 52,290 "," 51,664 "," 52,215 "," 53,274 "," 49,718 ",,,,,,,
10850,Blayney," 3,698 "," 3,636 "," 3,769 "," 3,796 "," 3,694 "," 3,919 "," 3,967 ", 46 , 46 , 46 , 46 , 46 , 47 , 47 ," 185,000,000 "," 184,000,000 "," 189,000,000 "," 207,000,000 "," 204,000,000 "," 220,451,954 "," 223,864,442 "," 40,934 "," 41,031 "," 41,780 "," 44,143 "," 45,397 "," 45,846 "," 47,530 "," 50,156 "," 50,472 "," 50,247 "," 54,570 "," 55,139 "," 56,252 "," 56,432 ",,,,,,,
10900,Blue Mountains," 42,648 "," 42,468 "," 43,163 "," 44,301 "," 44,952 "," 45,662 "," 46,244 ", 47 , 47 , 47 , 47 , 47 , 47 , 47 ," 2,290,000,000 "," 2,350,000,000 "," 2,450,000,000 "," 2,560,000,000 "," 2,680,000,000 "," 2,753,225,480 "," 2,859,877,915 "," 43,302 "," 44,920 "," 45,821 "," 46,563 "," 47,705 "," 48,325 "," 49,788 "," 53,662 "," 55,376 "," 56,710 "," 57,737 "," 59,537 "," 60,296 "," 61,843 ",,,,,,,
10950,Bogan," 1,494 "," 1,507 "," 1,573 "," 1,598 "," 1,568 "," 1,576 "," 1,547 ", 44 , 44 , 45 , 45 , 45 , 44 , 45 ," 68,059,600 "," 72,157,870 "," 78,224,453 "," 98,966,025 "," 92,803,415 "," 100,412,201 "," 83,170,439 "," 37,968 "," 38,760 "," 41,296 "," 49,652 "," 47,806 "," 46,446 "," 45,717 "," 45,555 "," 47,882 "," 49,729 "," 61,931 "," 59,186 "," 63,713 "," 53,762 ",,,,,,,
11150,Bourke," 1,372 "," 1,339 "," 1,337 "," 1,298 "," 1,196 "," 1,278 "," 1,313 ", 42 , 42 , 43 , 44 , 44 , 44 , 43 ," 65,714,334 "," 59,141,276 "," 62,115,627 "," 68,603,400 "," 64,501,909 "," 77,204,186 "," 72,945,725 "," 41,968 "," 41,875 "," 43,895 "," 47,815 "," 49,471 "," 51,680 "," 50,405 "," 47,897 "," 44,168 "," 46,459 "," 52,853 "," 53,931 "," 60,410 "," 55,557 ",,,,,,,
11200,Brewarrina, 613 , 592 , 567 , 555 , 545 , 551 , 595 , 46 , 46 , 47 , 46 , 45 , 45 , 45 ," 28,516,907 "," 26,856,659 "," 23,740,845 "," 23,948,321 "," 26,887,546 "," 29,154,165 "," 27,940,239 "," 39,389 "," 40,123 "," 39,822 "," 41,177 "," 45,005 "," 46,261 "," 44,520 "," 46,520 "," 45,366 "," 41,871 "," 43,150 "," 49,335 "," 52,911 "," 46,958 ",,,,,,,
11250,Broken Hill," 8,465 "," 8,355 "," 8,402 "," 8,548 "," 8,341 "," 8,310 "," 8,519 ", 44 , 44 , 45 , 45 , 45 , 45 , 44 ," 427,000,000 "," 444,000,000 "," 451,000,000 "," 474,000,000 "," 474,000,000 "," 495,677,919 "," 505,742,189 "," 42,240 "," 44,581 "," 45,514 "," 46,595 "," 48,050 "," 49,696 "," 50,628 "," 50,434 "," 53,110 "," 53,639 "," 55,425 "," 56,771 "," 59,648 "," 59,366 ",,,,,,,
11300,Burwood," 19,580 "," 19,774 "," 20,056 "," 20,941 "," 21,898 "," 22,467 "," 23,592 ", 38 , 38 , 38 , 38 , 37 , 37 , 36 ," 983,000,000 "," 1,030,000,000 "," 1,090,000,000 "," 1,150,000,000 "," 1,230,000,000 "," 1,266,303,972 "," 1,329,926,689 "," 36,601 "," 38,728 "," 39,914 "," 40,677 "," 41,388 "," 40,811 "," 40,562 "," 50,181 "," 52,301 "," 54,359 "," 54,861 "," 56,346 "," 56,363 "," 56,372 ",,,,,,,
11350,Byron," 17,880 "," 18,280 "," 18,995 "," 19,849 "," 20,654 "," 21,423 "," 21,963 ", 46 , 46 , 46 , 46 , 45 , 45 , 45 ," 726,000,000 "," 775,000,000 "," 867,000,000 "," 932,000,000 "," 988,000,000 "," 1,047,710,347 "," 1,104,313,325 "," 28,454 "," 29,825 "," 31,240 "," 32,263 "," 33,178 "," 33,747 "," 35,180 "," 40,611 "," 42,386 "," 45,647 "," 46,976 "," 47,857 "," 48,906 "," 50,281 ",,,,,,,
11400,Cabonne," 6,902 "," 7,062 "," 7,122 "," 7,215 "," 6,986 "," 7,380 "," 7,510 ", 46 , 47 , 47 , 47 , 46 , 46 , 47 ," 327,000,000 "," 337,000,000 "," 355,000,000 "," 396,000,000 "," 390,000,000 "," 421,942,797 "," 432,680,810 "," 38,719 "," 38,826 "," 39,834 "," 43,402 "," 43,918 "," 44,409 "," 45,679 "," 47,309 "," 47,708 "," 49,829 "," 54,868 "," 55,845 "," 57,174 "," 57,614 ",,,,,,,
11450,Camden," 33,322 "," 35,064 "," 37,634 "," 41,085 "," 44,818 "," 49,205 "," 53,683 ", 40 , 40 , 40 , 40 , 40 , 39 , 39 ," 1,890,000,000 "," 2,080,000,000 "," 2,290,000,000 "," 2,560,000,000 "," 2,880,000,000 "," 3,206,498,863 "," 3,589,345,686 "," 49,179 "," 51,406 "," 53,040 "," 54,110 "," 55,907 "," 56,641 "," 58,416 "," 56,693 "," 59,227 "," 60,777 "," 62,301 "," 64,240 "," 65,166 "," 66,862 ",,,,,,,
11500,Campbelltown," 74,934 "," 75,195 "," 76,790 "," 79,227 "," 82,078 "," 85,016 "," 88,044 ", 40 , 41 , 41 , 40 , 40 , 39 , 39 ," 3,640,000,000 "," 3,780,000,000 "," 3,920,000,000 "," 4,140,000,000 "," 4,400,000,000 "," 4,602,476,494 "," 4,914,756,043 "," 44,437 "," 45,674 "," 46,438 "," 47,465 "," 48,832 "," 49,354 "," 51,038 "," 48,624 "," 50,264 "," 51,061 "," 52,218 "," 53,574 "," 54,137 "," 55,822 ",,,,,,,
11520,Canada Bay," 46,463 "," 48,670 "," 50,720 "," 52,812 "," 54,582 "," 55,713 "," 56,812 ", 41 , 41 , 41 , 41 , 41 , 41 , 41 ," 3,320,000,000 "," 3,540,000,000 "," 3,820,000,000 "," 4,030,000,000 "," 4,230,000,000 "," 4,421,472,117 "," 4,671,811,905 "," 51,961 "," 53,713 "," 54,509 "," 55,457 "," 56,096 "," 56,951 "," 58,243 "," 71,411 "," 72,704 "," 75,325 "," 76,384 "," 77,472 "," 79,362 "," 82,233 ",,,,,,,
11570,Canterbury-Bankstown," 153,226 "," 154,841 "," 158,702 "," 165,369 "," 171,435 "," 177,629 "," 184,683 ", 40 , 41 , 40 , 40 , 40 , 39 , 39 ," 7,030,000,000 "," 7,400,000,000 "," 7,760,000,000 "," 8,270,000,000 "," 8,790,000,000 "," 9,254,993,071 "," 9,875,568,162 "," 38,549 "," 40,165 "," 40,919 "," 41,707 "," 42,542 "," 42,882 "," 43,786 "," 45,882 "," 47,819 "," 48,892 "," 50,036 "," 51,252 "," 52,103 "," 53,473 ",,,,,,,
11600,Carrathool," 1,551 "," 1,589 "," 1,635 "," 1,667 "," 1,600 "," 1,761 "," 1,713 ", 44 , 44 , 44 , 43 , 43 , 43 , 43 ," 68,493,042 "," 75,420,640 "," 85,049,360 "," 88,843,623 "," 76,695,378 "," 93,438,486 "," 82,693,308 "," 37,984 "," 38,621 "," 39,299 "," 41,385 "," 40,566 "," 43,433 "," 43,796 "," 44,161 "," 47,464 "," 52,018 "," 53,296 "," 47,935 "," 53,060 "," 48,274 ",,,,,,,
11650,Central Coast," 164,019 "," 164,703 "," 166,947 "," 171,604 "," 174,576 "," 179,065 "," 183,527 ", 44 , 45 , 45 , 45 , 45 , 45 , 44 ," 7,960,000,000 "," 8,370,000,000 "," 8,730,000,000 "," 9,220,000,000 "," 9,620,000,000 "," 10,002,073,754 "," 10,562,410,860 "," 39,637 "," 41,433 "," 42,501 "," 43,676 "," 44,951 "," 45,608 "," 47,148 "," 48,519 "," 50,790 "," 52,314 "," 53,716 "," 55,128 "," 55,857 "," 57,552 ",,,,,,,
11700,Central Darling, 743 , 743 , 721 , 729 , 622 , 635 , 619 , 45 , 47 , 46 , 47 , 48 , 47 , 47 ," 38,386,339 "," 36,165,627 "," 41,696,195 "," 44,485,935 "," 39,176,314 "," 43,622,740 "," 39,255,925 "," 38,264 "," 39,772 "," 43,699 "," 47,308 "," 47,438 "," 49,076 "," 48,952 "," 51,664 "," 48,675 "," 57,831 "," 61,023 "," 62,984 "," 68,697 "," 63,418 ",,,,,,,
11720,Cessnock," 24,726 "," 24,688 "," 24,838 "," 25,282 "," 25,922 "," 26,805 "," 27,971 ", 41 , 41 , 42 , 42 , 42 , 42 , 41 ," 1,330,000,000 "," 1,380,000,000 "," 1,380,000,000 "," 1,420,000,000 "," 1,440,000,000 "," 1,504,926,683 "," 1,605,548,018 "," 42,042 "," 43,384 "," 43,936 "," 44,724 "," 45,107 "," 46,632 "," 47,847 "," 53,746 "," 55,854 "," 55,595 "," 55,981 "," 55,566 "," 56,144 "," 57,400 ",,,,,,,
11730,Clarence Valley," 23,530 "," 23,130 "," 23,135 "," 23,361 "," 23,811 "," 24,470 "," 25,301 ", 48 , 49 , 49 , 49 , 49 , 49 , 48 ," 875,000,000 "," 893,000,000 "," 932,000,000 "," 973,000,000 "," 1,050,000,000 "," 1,101,920,373 "," 1,183,063,498 "," 30,490 "," 32,312 "," 33,638 "," 35,017 "," 36,860 "," 37,474 "," 39,211 "," 37,169 "," 38,602 "," 40,272 "," 41,650 "," 44,046 "," 45,031 "," 46,760 ",,,,,,,
11750,Cobar," 2,378 "," 2,403 "," 2,385 "," 2,416 "," 2,360 "," 2,403 "," 2,384 ", 40 , 40 , 41 , 41 , 41 , 41 , 41 ," 138,000,000 "," 149,000,000 "," 161,000,000 "," 170,000,000 "," 161,000,000 "," 171,472,641 "," 165,641,908 "," 48,910 "," 53,046 "," 52,439 "," 57,083 "," 56,039 "," 58,090 "," 57,158 "," 58,192 "," 62,159 "," 67,304 "," 70,301 "," 68,050 "," 71,358 "," 69,481 ",,,,,,,
11800,Coffs Harbour," 36,307 "," 36,722 "," 37,590 "," 38,956 "," 39,869 "," 40,844 "," 41,575 ", 46 , 46 , 46 , 46 , 45 , 46 , 45 ," 1,550,000,000 "," 1,650,000,000 "," 1,730,000,000 "," 1,870,000,000 "," 1,920,000,000 "," 2,004,293,424 "," 2,101,388,097 "," 34,414 "," 36,318 "," 37,582 "," 38,683 "," 39,529 "," 40,281 "," 41,618 "," 42,583 "," 44,881 "," 46,027 "," 47,881 "," 48,258 "," 49,072 "," 50,545 ",,,,,,,
12000,Coolamon," 2,246 "," 2,245 "," 2,259 "," 2,321 "," 2,015 "," 2,361 "," 2,397 ", 47 , 47 , 47 , 47 , 46 , 48 , 48 ," 101,000,000 "," 108,000,000 "," 113,000,000 "," 117,000,000 "," 106,000,000 "," 125,072,063 "," 113,247,709 "," 37,300 "," 39,290 "," 41,743 "," 42,784 "," 42,838 "," 43,918 "," 42,936 "," 44,786 "," 48,036 "," 50,080 "," 50,277 "," 52,600 "," 52,974 "," 47,246 ",,,,,,,
12150,Coonamble," 1,896 "," 1,900 "," 1,847 "," 1,844 "," 1,670 "," 1,797 "," 1,810 ", 45 , 45 , 46 , 46 , 46 , 46 , 47 ," 76,567,786 "," 85,757,078 "," 68,744,240 "," 84,871,241 "," 84,039,035 "," 121,169,180 "," 87,897,383 "," 35,768 "," 37,062 "," 35,741 "," 41,027 "," 43,463 "," 47,159 "," 43,036 "," 40,384 "," 45,135 "," 37,219 "," 46,026 "," 50,323 "," 67,429 "," 48,562 ",,,,,,,
12160,Cootamundra-Gundagai Regional," 5,836 "," 5,704 "," 5,654 "," 5,835 "," 5,778 "," 5,769 "," 5,760 ", 47 , 47 , 47 , 47 , 47 , 48 , 48 ," 259,000,000 "," 257,000,000 "," 269,000,000 "," 293,000,000 "," 293,000,000 "," 298,563,137 "," 296,929,177 "," 36,984 "," 38,096 "," 39,306 "," 41,443 "," 41,720 "," 42,258 "," 43,198 "," 40,027 "," 40,499 "," 42,337 "," 44,766 "," 45,920 "," 51,753 "," 51,550 ",,,,,,,
12350,Cowra," 6,181 "," 6,165 "," 6,231 "," 6,262 "," 6,244 "," 6,445 "," 6,484 ", 47 , 47 , 47 , 48 , 48 , 47 , 47 ," 247,000,000 "," 250,000,000 "," 264,000,000 "," 280,000,000 "," 287,000,000 "," 299,852,908 "," 309,368,596 "," 33,088 "," 34,415 "," 35,696 "," 37,811 "," 38,659 "," 39,187 "," 40,926 "," 44,397 "," 44,972 "," 47,525 "," 50,129 "," 50,641 "," 46,525 "," 47,713 ",,,,,,,
12380,Cumberland," 94,521 "," 96,552 "," 99,408 "," 103,809 "," 108,926 "," 114,601 "," 120,688 ", 37 , 37 , 37 , 37 , 37 , 36 , 36 ," 4,200,000,000 "," 4,460,000,000 "," 4,680,000,000 "," 4,950,000,000 "," 5,330,000,000 "," 5,633,685,379 "," 6,090,221,362 "," 38,470 "," 39,860 "," 40,273 "," 40,786 "," 40,890 "," 41,083 "," 41,783 "," 44,398 "," 46,195 "," 47,052 "," 47,721 "," 48,925 "," 49,159 "," 50,463 ",,,,,,,
12390,Dubbo Regional," 25,350 "," 25,542 "," 26,095 "," 26,722 "," 27,404 "," 27,634 "," 28,211 ", 43 , 43 , 43 , 43 , 43 , 42 , 42 ," 1,220,000,000 "," 1,250,000,000 "," 1,320,000,000 "," 1,410,000,000 "," 1,460,000,000 "," 1,521,912,083 "," 1,580,975,461 "," 41,267 "," 42,477 "," 43,507 "," 44,887 "," 45,563 "," 47,136 "," 48,782 "," 48,189 "," 49,089 "," 50,519 "," 52,612 "," 53,428 "," 55,074 "," 56,041 ",,,,,,,
12700,Dungog," 4,555 "," 4,642 "," 4,681 "," 4,725 "," 4,827 "," 4,912 "," 5,021 ", 47 , 48 , 48 , 48 , 48 , 48 , 48 ," 219,000,000 "," 224,000,000 "," 228,000,000 "," 240,000,000 "," 248,000,000 "," 257,587,278 "," 267,847,798 "," 37,704 "," 37,177 "," 37,822 "," 39,918 "," 41,152 "," 41,466 "," 42,515 "," 48,061 "," 48,232 "," 48,648 "," 50,845 "," 51,296 "," 52,440 "," 53,346 ",,,,,,,
12730,Edward River," 5,072 "," 5,085 "," 5,091 "," 5,305 "," 4,521 "," 5,035 "," 5,049 ", 47 , 47 , 48 , 47 , 46 , 47 , 47 ," 204,000,000 "," 221,000,000 "," 233,000,000 "," 261,000,000 "," 207,000,000 "," 236,208,565 "," 251,066,599 "," 35,483 "," 37,573 "," 39,334 "," 40,870 "," 40,245 "," 40,718 "," 43,785 "," 40,245 "," 43,388 "," 45,737 "," 49,165 "," 45,734 "," 46,913 "," 49,726 ",,,,,,,
12750,Eurobodalla," 18,443 "," 18,262 "," 18,465 "," 18,969 "," 19,198 "," 19,744 "," 20,293 ", 51 , 52 , 52 , 52 , 52 , 52 , 52 ," 717,000,000 "," 737,000,000 "," 771,000,000 "," 815,000,000 "," 838,000,000 "," 872,937,182 "," 922,604,836 "," 31,352 "," 32,773 "," 33,788 "," 34,509 "," 35,593 "," 36,062 "," 37,455 "," 38,874 "," 40,339 "," 41,755 "," 42,991 "," 43,669 "," 44,213 "," 45,464 ",,,,,,,
12850,Fairfield," 82,858 "," 83,254 "," 84,374 "," 87,001 "," 89,159 "," 90,739 "," 93,590 ", 40 , 41 , 41 , 41 , 40 , 40 , 40 ," 3,580,000,000 "," 3,730,000,000 "," 3,870,000,000 "," 4,110,000,000 "," 4,320,000,000 "," 4,442,210,312 "," 4,704,453,857 "," 38,431 "," 39,932 "," 40,529 "," 41,466 "," 42,326 "," 42,673 "," 43,555 "," 43,249 "," 44,850 "," 45,882 "," 47,282 "," 48,417 "," 48,956 "," 50,267 ",,,,,,,
12870,Federation," 6,870 "," 6,903 "," 7,001 "," 7,037 "," 6,796 "," 7,055 "," 7,020 ", 48 , 48 , 48 , 49 , 48 , 49 , 49 ," 293,000,000 "," 314,000,000 "," 326,000,000 "," 345,000,000 "," 331,000,000 "," 334,864,418 "," 340,184,095 "," 36,826 "," 37,650 "," 38,901 "," 40,695 "," 40,706 "," 41,225 "," 42,484 "," 42,717 "," 45,518 "," 46,515 "," 48,996 "," 48,741 "," 47,465 "," 48,459 ",,,,,,,
12900,Forbes," 4,590 "," 4,618 "," 4,711 "," 4,784 "," 4,832 "," 4,933 "," 5,003 ", 46 , 46 , 45 , 46 , 45 , 46 , 45 ," 195,000,000 "," 206,000,000 "," 228,000,000 "," 240,000,000 "," 248,000,000 "," 256,041,436 "," 268,251,394 "," 36,546 "," 37,997 "," 40,389 "," 41,479 "," 42,941 "," 43,375 "," 45,120 "," 42,416 "," 44,608 "," 48,500 "," 50,226 "," 51,290 "," 51,904 "," 53,618 ",,,,,,,
12930,Georges River," 79,212 "," 79,933 "," 82,052 "," 85,151 "," 87,607 "," 91,372 "," 94,730 ", 42 , 42 , 42 , 42 , 41 , 41 , 40 ," 4,320,000,000 "," 4,510,000,000 "," 4,740,000,000 "," 5,000,000,000 "," 5,250,000,000 "," 5,482,766,712 "," 5,791,510,502 "," 42,070 "," 43,576 "," 44,472 "," 45,252 "," 46,033 "," 45,913 "," 46,473 "," 54,517 "," 56,374 "," 57,775 "," 58,739 "," 59,893 "," 60,005 "," 61,137 ",,,,,,,
12950,Gilgandra," 2,127 "," 2,075 "," 2,060 "," 2,128 "," 2,118 "," 2,108 "," 2,153 ", 46 , 47 , 48 , 47 , 48 , 47 , 47 ," 78,444,326 "," 81,362,067 "," 78,986,921 "," 92,851,856 "," 95,869,838 "," 100,278,523 "," 93,642,911 "," 32,714 "," 33,858 "," 34,010 "," 36,494 "," 39,430 "," 42,195 "," 39,443 "," 36,880 "," 39,211 "," 38,343 "," 43,633 "," 45,264 "," 47,570 "," 43,494 ",,,,,,,
13010,Glen Innes Severn," 4,261 "," 4,235 "," 4,252 "," 4,236 "," 4,153 "," 4,231 "," 4,251 ", 48 , 49 , 50 , 50 , 49 , 49 , 49 ," 155,000,000 "," 146,000,000 "," 151,000,000 "," 157,000,000 "," 171,000,000 "," 178,052,149 "," 182,717,359 "," 31,231 "," 29,633 "," 29,826 "," 31,261 "," 34,058 "," 35,166 "," 35,574 "," 36,318 "," 34,591 "," 35,628 "," 37,105 "," 41,161 "," 42,083 "," 42,982 ",,,,,,,
13310,Goulburn Mulwaree," 14,583 "," 14,575 "," 14,803 "," 15,152 "," 15,600 "," 15,907 "," 16,211 ", 45 , 45 , 45 , 45 , 45 , 45 , 45 ," 692,000,000 "," 721,000,000 "," 746,000,000 "," 797,000,000 "," 843,000,000 "," 861,344,350 "," 902,736,160 "," 40,803 "," 42,439 "," 43,062 "," 44,272 "," 46,054 "," 46,891 "," 48,393 "," 47,482 "," 49,476 "," 50,383 "," 52,579 "," 54,015 "," 54,149 "," 55,687 ",,,,,,,
13340,Greater Hume Shire," 5,584 "," 5,612 "," 5,728 "," 5,784 "," 5,634 "," 6,077 "," 6,132 ", 48 , 48 , 48 , 48 , 48 , 48 , 48 ," 245,000,000 "," 250,000,000 "," 264,000,000 "," 291,000,000 "," 288,000,000 "," 310,631,444 "," 319,959,385 "," 36,583 "," 37,887 "," 38,815 "," 41,172 "," 42,112 "," 42,871 "," 43,670 "," 43,817 "," 44,627 "," 46,028 "," 50,249 "," 51,122 "," 51,116 "," 52,179 ",,,,,,,
